Ticker,name,summary,category,aum,pe,sector_weights
SOCL,,,,,,
COAL,,,,,,
SIL,,,,,,
KBE,,,,,,
XLY,,,,,,
NLR,,,,,,
GDX,,,,,,
MORT,,,,,,
XLC,,,,,,
PBJ,,,,,,
IGF,,,,,,
FMAT,,,,,,
JETS,,,,,,
XLB,,,,,,
IYK,,,,,,
IYC,,,,,,
XLP,,,,,,
XME,,,,,,
COPX,,,,,,
OIH,,,,,,
PHO,,"The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index. The underlying index seeks to track the performance of companies that create products designed to conserve and purify water for homes, businesses and industries. The underlying index is designed to track the performance of U.S. exchange-listed companies that create products that conserve and purify water for homes, businesses, and industries. The fund is non-diversified.",,,,"{""realestate"": 0.0, ""consumer_cyclical"": 0.0, ""basic_materials"": 0.089700006, ""consumer_defensive"": 0.0, ""technology"": 0.18180001, ""communication_services"": 0.0, ""financial_services"": 0.0, ""utilities"": 0.074099995, ""industrials"": 0.48349997, ""energy"": 0.0, ""healthcare"": 0.1708}"
