Ticker,Prezzo,RSI,Volume Ratio,ATR14,ATR_%,CH_Status,CH_Score,CH_Rim,CH_Depth_%,CH_Cup_Bars,CH_Handle_Bars,CH_Handle_Retr_%,CH_Bars_Since,CH_PriorRise_ATR,DT_Status,DT_Score,DT_Neckline,DT_Diff_%,DT_Valley_%,DT_Sep_Bars,DT_Bars_Since,DTZ_Status,DTZ_T1,DTZ_Valley_%,DTZ_Sep_Bars,DTZ_Bars_Since,Perf_1Y_%,Perf_3Y_%,Perf_5Y_%,Best_Score,Run_Date
SOCL,45.15,49.02,0.21,0.73,1.61,,,,,,,,,,PENDING,100.0,41.3,1.3,15.2,43.0,23.0,,,,,,-21.1,18.4,,100,2026-09-04
COAL,27.82,66.69,1.31,0.71,2.56,,,,,,,,,,PENDING,100.0,24.5,1.2,15.8,46.0,64.0,,,,,,39.4,,,100,2026-09-04
SIL,99.29,59.48,0.72,3.9,3.93,,,,,,,,,,PENDING,100.0,91.18,0.3,23.4,24.0,130.0,,,,,,73.0,296.5,,100,2026-09-04
KBE,69.34,52.08,0.57,0.98,1.42,,,,,,,,,,PENDING,79.0,67.86,0.7,5.6,22.0,14.0,,,,,,16.3,88.8,,79,2026-09-04
XLY,114.91,44.58,1.01,1.66,1.44,,,,,,,,,,PENDING,79.0,108.29,1.2,11.2,49.0,20.0,,,,,,-0.1,38.8,,79,2026-09-04
PBJ,47.87,47.36,0.23,0.51,1.07,,,,,,,,,,PENDING,79.0,46.91,0.4,7.6,28.0,103.0,,,,,,2.3,13.4,,79,2026-09-04
GDX,99.26,58.46,0.84,3.66,3.69,,,,,,,,,,PENDING,79.0,92.0,3.1,21.5,21.0,130.0,,,,,,58.3,253.4,,79,2026-09-04
MORT,9.81,49.27,0.76,0.13,1.31,,,,,,,,,,PENDING,79.0,9.59,1.0,6.1,24.0,12.0,,,,,,3.0,18.0,,79,2026-09-04
XLC,112.03,51.79,0.67,1.7,1.52,,,,,,,,,,PENDING,79.0,106.44,0.5,11.1,52.0,97.0,,,,,,1.8,72.7,,79,2026-09-04
IGF,65.08,40.94,0.56,0.55,0.85,,,,,,,,,,PENDING,79.0,64.14,0.1,6.6,28.0,103.0,,,,,,11.1,58.0,,79,2026-09-04
FMAT,60.24,51.22,0.6,0.91,1.52,FORMING,73.0,62.0,8.9,48.0,7.0,44.6,7.0,4.7,PENDING,43.0,56.48,1.0,8.9,48.0,7.0,,,,,,14.8,34.0,,73,2026-09-04
JETS,28.8,40.02,1.01,0.66,2.29,,,,,,,,,,CONFIRMED,60.0,29.01,0.2,14.8,23.0,4.0,,,,,,10.4,51.1,,60,2026-09-04
IYK,74.47,47.29,0.84,0.91,1.22,FORMING,57.0,76.91,11.0,96.0,35.0,42.7,35.0,13.2,,,,,,,,,,,,,8.8,23.9,,57,2026-09-04
XME,118.62,55.43,0.43,3.63,3.06,,,,,,,,,,PENDING,57.0,100.59,2.0,25.8,88.0,66.0,,,,,,44.6,127.0,,57,2026-09-04
XLB,52.44,49.5,1.01,0.84,1.61,FORMING,57.0,53.6,9.1,77.0,18.0,37.8,18.0,7.0,PENDING,57.0,46.35,0.9,14.5,132.0,9.0,,,,,,15.7,32.6,,57,2026-09-04
IYC,100.24,43.94,0.93,1.21,1.21,,,,,,,,,,PENDING,57.0,95.63,1.2,9.4,85.0,12.0,,,,,,-2.6,44.2,,57,2026-09-04
XLP,84.58,45.29,1.11,1.1,1.3,,,,,,,,,,PENDING,57.0,83.86,1.5,5.5,19.0,9.0,,,,,,7.6,27.2,,57,2026-09-04
COPX,90.66,54.35,0.44,2.63,2.9,,,,,,,,,,PENDING,57.0,68.26,2.1,31.5,146.0,5.0,,,,,,86.9,151.2,,57,2026-09-04
PICK,65.06,57.26,0.36,1.31,2.01,,,,,,,,,,PENDING,43.0,54.73,1.9,20.0,61.0,5.0,,,,,,62.6,75.2,,43,2026-09-04
OIH,427.53,60.21,0.81,10.73,2.51,,,,,,,,,,PENDING,36.0,412.02,1.8,10.3,15.0,74.0,,,,,,69.3,28.7,,36,2026-09-04
PHO,70.55,45.7,1.3,0.92,1.31,,,,,,,,,,PENDING,21.0,63.42,1.0,14.8,136.0,20.0,,,,,,-2.6,25.1,,21,2026-09-04
