Ticker,name,sector,industry,summary,market_cap,pe,fwd_pe,ps,roe,exchange,next_earnings,equity_ratio,earning_power,fcf_growth_yoy,fcf,fcf_yield,fin_history,lt_debt
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,"Airbnb, Inc., together with its subsidiaries, operates a platform for stays, experiences, and services worldwide. The company's marketplace connects hosts and guests online or through mobile devices to book spaces, experiences, and services. It also offers gift cards. The company was formerly known as AirBed & Breakfast, Inc. and changed its name to Airbnb, Inc. in November 2010. Airbnb, Inc. was founded in 2007 and is headquartered in San Francisco, California.",81422942208,33.874073,22.72637,6.438123,0.32325,NMS,2026-08-06,0.3691912824207493,0.11455331412103746,0.0283311199645861,4646000000.0,0.05706008495899721,"[{""Year"": 2022, ""Revenue"": 8399000000.0, ""NetIncome"": 1893000000.0, ""Debt"": 2341000000.0, ""FCF"": 3430000000.0}, {""Year"": 2023, ""Revenue"": 9917000000.0, ""NetIncome"": 4792000000.0, ""Debt"": 2304000000.0, ""FCF"": 3884000000.0}, {""Year"": 2024, ""Revenue"": 11102000000.0, ""NetIncome"": 2648000000.0, ""Debt"": 2058000000.0, ""FCF"": 4518000000.0}, {""Year"": 2025, ""Revenue"": 12241000000.0, ""NetIncome"": 2511000000.0, ""Debt"": 2067000000.0, ""FCF"": 4646000000.0}]",
ABT,Abbott Laboratories,Healthcare,Medical Devices,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The company offers generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, hypertriglyceridemia, Ménière's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. It also provides laboratory and transfusion medicine systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion serology testing; molecular diagnostics polymerase chain reaction instrument systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, and detect and measure infectious agents; point of care systems; cartridges for testing blood gas, chemistry, electrolytes, coagulation, and immunoassay; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; and drug and alcohol test. In addition, the company offers pediatric and adult nutritional products and infant formula; rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; diabetes care products, such as glucose and blood glucose monitoring systems; and neuromodulation devices. The company was formerly known as Abbott Alkaloidal Company and changed its name to Abbott Laboratories in 1915. Abbott Laboratories was founded in 1888 and is based in Abbott Park, Illinois.",175052226560,32.524273,16.571634,3.7576952,,NYQ,2026-10-14,0.6011786006711797,0.10331784161544405,0.1643835616438356,7395000000.0,0.04224453550418182,"[{""Year"": 2022, ""Revenue"": 43653000000.0, ""NetIncome"": 6933000000.0, ""Debt"": 17716000000.0, ""FCF"": 7804000000.0}, {""Year"": 2023, ""Revenue"": 40109000000.0, ""NetIncome"": 5723000000.0, ""Debt"": 15628000000.0, ""FCF"": 5059000000.0}, {""Year"": 2024, ""Revenue"": 41950000000.0, ""NetIncome"": 13402000000.0, ""Debt"": 15021000000.0, ""FCF"": 6351000000.0}, {""Year"": 2025, ""Revenue"": 44328000000.0, ""NetIncome"": 6524000000.0, ""Debt"": 13860000000.0, ""FCF"": 7395000000.0}]",9896000000.0
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,"Arch Capital Group Ltd., together with its subsidiaries, provides insurance, reinsurance, and mortgage insurance products in the United States, Canada, Bermuda, the United Kingdom, Europe, and Australia. The company operates through three segments: Insurance, Reinsurance, and Mortgage. The Insurance segment offers commercial automobile; commercial multiperil; financial and professional line liability; admitted, excess, and surplus casualty lines; property and short-tail specialty; workers compensation; and casualty insurance. Its Reinsurance segment provides reinsurance products for casualty; marine and aviation; property catastrophe; property excluding property catastrophe; and other specialty products. The Mortgage segment offers U.S. primary mortgage insurance business written predominantly on loans sold to the Federal National Mortgage Association and Federal Home Loan Mortgage Corporation; reinsurance and underwriting services related to the U.S. credit-risk transfer business and other U.S. mortgage reinsurance transactions; and international mortgage insurance and reinsurance business covering loans. It markets its products through a group of licensed independent retail and wholesale brokers. The company was formerly known as Risk Capital Holdings, Inc. Arch Capital Group Ltd. was founded in 1995 and is headquartered in Pembroke, Bermuda.",34890047488,7.6815386,10.182865,1.7641729,0.21305999,NMS,2026-07-28,0.3054731767645537,0.06470135409699525,-0.0745998187858653,6128000000.0,0.1756374794877436,"[{""Year"": 2022, ""Revenue"": 9613000000.0, ""NetIncome"": 1476000000.0, ""Debt"": 2725000000.0, ""FCF"": 3766000000.0}, {""Year"": 2023, ""Revenue"": 13297000000.0, ""NetIncome"": 4443000000.0, ""Debt"": 2726000000.0, ""FCF"": 5697000000.0}, {""Year"": 2024, ""Revenue"": 16930000000.0, ""NetIncome"": 4312000000.0, ""Debt"": 2728000000.0, ""FCF"": 6622000000.0}, {""Year"": 2025, ""Revenue"": 19294000000.0, ""NetIncome"": 4399000000.0, ""Debt"": 2729000000.0, ""FCF"": 6128000000.0}]",2729000000.0
ADI,"Analog Devices, Inc.",Technology,Semiconductors,"Analog Devices, Inc. engages in the design, manufacture, testing, and marketing of integrated circuits (ICs), software, and subsystems products in the United States, rest of North and South America, Europe, Japan, China, and rest of Asia. It provides data converter products, which translate real-world analog signals into digital data, as well as translates digital data into analog signals; power management and reference products for power conversion, driver monitoring, sequencing, and energy management applications in the automotive, communications, industrial, and consumer markets; and power ICs that include performance, integration, and software design simulation tools for accurate power supply designs. The company also offers amplifiers to condition analog signals; and radio frequency and microwave ICs to support cellular infrastructure; and micro-electro-mechanical systems technology solutions, including accelerometers used to sense acceleration, gyroscopes for sense rotation, inertial measurement units to sense multiple degrees of freedom, and broadband switches for radio and instrument systems, as well as isolators. In addition, it provides digital signal processing and system products for numeric calculations. The company serves clients in the industrial, automotive, consumer, instrumentation, aerospace, defense and healthcare, and communications markets through a direct sales force, third-party distributors, and independent sales representatives, as well as online. The company was incorporated in 1965 and is headquartered in Wilmington, Massachusetts.",183402889216,55.947994,24.998058,14.395613,0.09639,NMS,2026-08-19,0.7046018778851255,0.06313100205714568,0.370454692501696,4278650000.0,0.023329239895238968,"[{""Year"": 2022, ""Revenue"": 12013953000.0, ""NetIncome"": 2748561000.0, ""Debt"": 6602253000.0, ""FCF"": 3776094000.0}, {""Year"": 2023, ""Revenue"": 12305539000.0, ""NetIncome"": 3314579000.0, ""Debt"": 7013478000.0, ""FCF"": 3556171000.0}, {""Year"": 2024, ""Revenue"": 9427157000.0, ""NetIncome"": 1635273000.0, ""Debt"": 7649817000.0, ""FCF"": 3122066000.0}, {""Year"": 2025, ""Revenue"": 11019707000.0, ""NetIncome"": 2267342000.0, ""Debt"": 8664610000.0, ""FCF"": 4278650000.0}]",8145066000.0
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,"American Electric Power Company, Inc., an electric public utility holding company, engages in the generation, transmission, and distribution of electricity for sale to retail and wholesale customers in the United States. It operates through Vertically Integrated Utilities, Transmission and Distribution Utilities, AEP Transmission Holdco, and Generation & Marketing segments. The company generates electricity using coal and lignite, nuclear, natural gas, renewable, hydro, solar, wind, and other energy sources; owns, operates, maintains, and invests in transmission infrastructure; and engages in the retail supply, and wholesale energy trading and marketing businesses. It operates approximately 252,000 circuit miles of distribution lines; 38,000 circuit miles of transmission lines; and 25,000 MWs of regulated owned generating capacity. American Electric Power Company, Inc. was incorporated in 1906 and is headquartered in Columbus, Ohio.",73168527360,19.892752,19.609375,3.261647,0.12585,NMS,2026-07-30,0.272042634981653,0.050235890267342306,,-1639000000.0,-0.022400341501146757,"[{""Year"": 2022, ""Revenue"": 19639500000.0, ""NetIncome"": 2307200000.0, ""Debt"": 41579300000.0, ""FCF"": -1484400000.0}, {""Year"": 2023, ""Revenue"": 18982000000.0, ""NetIncome"": 2208000000.0, ""Debt"": 43608500000.0, ""FCF"": -2494000000.0}, {""Year"": 2024, ""Revenue"": 19721000000.0, ""NetIncome"": 2967000000.0, ""Debt"": 45763000000.0, ""FCF"": -967000000.0}, {""Year"": 2025, ""Revenue"": 21876000000.0, ""NetIncome"": 3580000000.0, ""Debt"": 49508000000.0, ""FCF"": -1639000000.0}]",44128000000.0
AFL,Aflac Incorporated,Financial Services,Insurance - Life,"Aflac Incorporated, through its subsidiaries, provides supplemental health and life insurance products. It operates in two segments, Aflac Japan and Aflac U.S. The Aflac Japan segment offers cancer, medical, nursing care, whole life, and GIFT insurance products, as well as WAYS and child endowment, and Tsumitasu insurance products in Japan. Its Aflac U.S. segment provides accident, disability, cancer, critical illness, hospital indemnity, dental, vision, and life insurance products in the United States. The company also provides hearing, final expense, pet, Medicare supplement, supplemental dental and vision, short-term disability, and absence management insurance products, as well as cafeteria plans. It sells its products to individuals, families, and business owners through individual, independent corporate, and affiliated corporate agencies; banks; independent associates/career agents; and brokers. Aflac Incorporated was founded in 1955 and is headquartered in Columbus, Georgia.",63215923200,14.194285,16.458134,3.4902785,0.16469,NYQ,2026-08-06,0.2531982484760024,0.04080879196359578,-0.05615072035463613,2555000000.0,0.040417032144205084,"[{""Year"": 2022, ""Revenue"": 19151000000.0, ""NetIncome"": 4418000000.0, ""Debt"": 7442000000.0, ""FCF"": 3879000000.0}, {""Year"": 2023, ""Revenue"": 18841000000.0, ""NetIncome"": 4659000000.0, ""Debt"": 7364000000.0, ""FCF"": 3190000000.0}, {""Year"": 2024, ""Revenue"": 19128000000.0, ""NetIncome"": 5443000000.0, ""Debt"": 7498000000.0, ""FCF"": 2707000000.0}, {""Year"": 2025, ""Revenue"": 17355000000.0, ""NetIncome"": 3646000000.0, ""Debt"": 8409000000.0, ""FCF"": 2555000000.0}]",8330000000.0
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,"American International Group, Inc. provides insurance products for commercial, institutional, and individual customers in North America and internationally. It operates through three segments: North America Commercial, International Commercial, and Global Personal. The company offers commercial and industrial property insurance, including business interruption and package insurance that cover exposure to made and natural disasters; general liability, environmental, commercial automobile liability, workers' compensation, excess casualty, and crisis management insurance products; risk-sharing and other customized structured programs for large corporate and multinational customers; professional liability insurance; and marine, energy-related property insurance products, aviation, political risk, trade credit, and trade finance products. It also provides group personal accident and business travel products for employees, associations, and other organizations; voluntary and sponsor-paid personal accident and supplemental health products for individuals; and personal auto and homeowners in selected markets, comprehensive extended warranty, device protection insurance, home warranty and related services, and insurance for high net-worth individuals. In addition, the company offers mortgage and other loans receivable, such as commercial mortgages, life insurance policy loans, commercial loans, and other loans and notes receivable. American International Group, Inc. was founded in 1919 and is headquartered in New York, New York.",41597329408,13.812501,8.877642,1.557894,0.07723,NYQ,2026-08-06,0.2551192528557431,0.02651097027050492,0.012526733883287504,3314000000.0,0.07966857601590768,"[{""Year"": 2022, ""Revenue"": 29975000000.0, ""NetIncome"": 10227000000.0, ""Debt"": 27179000000.0, ""FCF"": 4134000000.0}, {""Year"": 2023, ""Revenue"": 27938000000.0, ""NetIncome"": 3643000000.0, ""Debt"": 10606000000.0, ""FCF"": 6243000000.0}, {""Year"": 2024, ""Revenue"": 27270000000.0, ""NetIncome"": -1404000000.0, ""Debt"": 8922000000.0, ""FCF"": 3273000000.0}, {""Year"": 2025, ""Revenue"": 26774000000.0, ""NetIncome"": 3096000000.0, ""Debt"": 9191000000.0, ""FCF"": 3314000000.0}]",9191000000.0
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,"Akamai Technologies, Inc. engages in the provision of security, delivery, and cloud computing solutions in the United States and internationally. It offers security solutions that include web application and application programming interfaces (API) protection solutions, which protect web, API, and mobile app traffic from attacks; Bot & Abuse portfolio, which provides solutions to help customers protect against threats; full account lifecycle protections including the ability to defend against account takeover and opening abuse, adversarial bot protection, protection against credential stuffing, inventory scalping, and hoarding; and solutions designed to stop persistent scrapers from stealing content; API security, which discovers, audits, and monitors API; and microservice and application component protection that analyzes and protects application traffic that moves between application components. The company also offers cloud computing services, which include compute, storage, and cloud native and networking services; and Akamai App Platform, provides ready-to-run templates that address challenges in deploying, managing and scaling Kubernetes clusters at scale. In addition, it offers delivery solutions that include web and mobile performance solutions, which enables dynamic websites and applications, as well as global traffic management, site acceleration, application load balancing, large-scale load testing, and real-user monitoring; and media delivery solutions, including video streaming and video player services, game and software delivery, broadcast operations, authoritative domain name system, resolution, and data and analytics. Akamai Technologies, Inc. was incorporated in 1998 and is headquartered in Cambridge, Massachusetts.",17221634048,40.01858,16.375845,4.03634,0.091680005,NMS,2026-08-06,0.43358238579370456,0.055155373734183194,-0.1614562347704292,699265000.0,0.04060387057645135,"[{""Year"": 2022, ""Revenue"": 3616654000.0, ""NetIncome"": 523672000.0, ""Debt"": 3174617000.0, ""FCF"": 816374000.0}, {""Year"": 2023, ""Revenue"": 3811920000.0, ""NetIncome"": 547629000.0, ""Debt"": 4535979000.0, ""FCF"": 618399000.0}, {""Year"": 2024, ""Revenue"": 3991168000.0, ""NetIncome"": 504918000.0, ""Debt"": 4634605000.0, ""FCF"": 833904000.0}, {""Year"": 2025, ""Revenue"": 4208175000.0, ""NetIncome"": 452031000.0, ""Debt"": 5675388000.0, ""FCF"": 699265000.0}]",4105355000.0
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,"Albemarle Corporation provides energy storage solutions worldwide. It operates through three segments: Energy Storage, Specialties, and Ketjen. The Energy Storage segment offers lithium compounds, including lithium carbonate, lithium hydroxide, and lithium chloride for use in lithium batteries used in consumer electronics and electric vehicles; power grids and solar panels; high-performance greases; and specialty glass used in consumer appliances and electronics. The Specialties segment provides bromine and highly specialized lithium solutions for various industries, such as energy, mobility, connectivity, and health comprising fire safety compounds; bromine-based specialty chemical products, including elemental bromine, alkyl bromides, inorganic bromides, brominated powdered activated carbon, and various bromine fine chemicals; lithium specialties, such as butyllithium and lithium aluminum hydride; cesium products for the chemical and pharmaceutical industries; and zirconium, barium, and titanium products for pyrotechnical applications, including airbag initiators. This segment also provides organic synthesis processes in the areas of steroid chemistry and vitamins, and various life science applications, as well as intermediates for the pharmaceutical industry; technical services, including handling and use of reactive lithium products; and recycling services for lithium-containing by-products. The Ketjen segment offers clean fuels technologies, including hydroprocessing catalysts together with isomerization and alkylation catalysts; fluidized catalytic cracking catalysts and additives; and performance catalyst solutions comprising organometallics and curatives. It serves the grid storage, automotive, aerospace, conventional energy, electronics, construction, agriculture and food, pharmaceuticals, and medical device industries. Albemarle Corporation was founded in 1887 and is headquartered in Charlotte, North Carolina.",13704005632,,9.284642,2.494094,-0.0182,NYQ,2026-08-05,0.5822182821511217,-0.021034418085854642,,692466000.0,0.050530189390978794,"[{""Year"": 2022, ""Revenue"": 7320104000.0, ""NetIncome"": 2689816000.0, ""Debt"": 3316369000.0, ""FCF"": 646203000.0}, {""Year"": 2023, ""Revenue"": 9617203000.0, ""NetIncome"": 1573476000.0, ""Debt"": 4280444000.0, ""FCF"": -827959000.0}, {""Year"": 2024, ""Revenue"": 5377526000.0, ""NetIncome"": -1179449000.0, ""Debt"": 3615679000.0, ""FCF"": -992653000.0}, {""Year"": 2025, ""Revenue"": 5142733000.0, ""NetIncome"": -510628000.0, ""Debt"": 3296651000.0, ""FCF"": 692466000.0}]",3119464000.0
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,"Align Technology, Inc. provides Invisalign clear aligners, Vivera retainers, and iTero intraoral scanners and services in the United States, Switzerland, and internationally. The company's Clear Aligner segment offers Invisalign comprehensive package to treat adults and teens malocclusion and features, and orthodontic needs of teenage or younger patients; and Invisalign First Phase I and Invisalign First Comprehensive Phase 2 package for younger patients between the ages of six and ten years with a mixture of primary/baby and permanent teeth. This segment also provides Invisalign express, Invisalign lite, and Invisalign moderate; Invisalign Go, Invisalign Go express, and Invisalign Go Plus; retention products, Invisalign training, adjusting tools used by dental professionals during treatment, ancillary Invisalign accessory products, and other oral health products; Invisalign Professional Whitening system; Invisalign Palatal Expander, a 3D printed orthodontic device; and 3D printing solutions. Its Imaging Systems and CAD/CAM Services segment offers iTero intraoral scanning system, a single hardware platform for restorative or orthodontic procedures; exocad, a computer-aided design and computer-aided manufacturing software; orthodontist software for digital records storage, orthodontic diagnosis, and fabrication of printed models and retainers; and restorative software for general practitioner dentists, prosthodontists, periodontists, and oral surgeons. This segment also offers Invisalign outcome simulator, a chair-side and cloud-based application for the iTero scanner; Invisalign progress assessment tool; Align Oral Health Suite, a digital interface for dental consultations; iTero TimeLapse technology for doctors or practitioners to compare a patient's historic 3D scans to the present-day scan; and subscription software, disposables, rents scanners, and pay per scan services. Align Technology, Inc. was incorporated in 1997 and is headquartered in Tempe, Arizona.",11950559232,28.04454,13.482144,2.9177673,0.10824,NMS,2026-07-29,0.6495582955400595,0.09389474265094544,-0.2117928020672897,490778000.0,0.041067366846385255,"[{""Year"": 2022, ""Revenue"": 3734635000.0, ""NetIncome"": 361573000.0, ""Debt"": 126908000.0, ""FCF"": 276832000.0}, {""Year"": 2023, ""Revenue"": 3862260000.0, ""NetIncome"": 445053000.0, ""Debt"": 126619000.0, ""FCF"": 608060000.0}, {""Year"": 2024, ""Revenue"": 3999012000.0, ""NetIncome"": 421362000.0, ""Debt"": 119277000.0, ""FCF"": 622651000.0}, {""Year"": 2025, ""Revenue"": 4034964000.0, ""NetIncome"": 410351000.0, ""Debt"": 114446000.0, ""FCF"": 490778000.0}]",82507000.0
