Ticker,Timeframe,Prezzo,RSI,Volume Ratio,CH_Status,CH_Score,CH_Rim,CH_Depth_%,CH_Cup_Bars,CH_Handle_Bars,CH_Handle_Retr_%,CH_Bars_Since,CH_PriorRise_%,DT_Status,DT_Score,DT_Neckline,DT_Diff_%,DT_Valley_%,DT_Sep_Bars,DT_Bars_Since,DTZ_Status,DTZ_T1,DTZ_Valley_%,DTZ_Sep_Bars,DTZ_Bars_Since,Perf_1Y_%,Perf_3Y_%,Perf_5Y_%,Best_Score,Run_Date
ALGN,Daily,180.45,55.23,0.78,,,,,,,,,,PENDING,100.0,162.27,0.7,19.0,46.0,68.0,TOUCH,199.06,18.5,44.0,70.0,-12.2,-52.8,-74.1,100,2026-07-29
DELL,Daily,375.39,43.02,0.56,,,,,,,,,,PENDING,100.0,356.48,1.3,23.9,29.0,11.0,,,,,,189.7,648.7,743.8,100,2026-07-29
DDOG,Daily,266.39,60.73,0.59,,,,,,,,,,PENDING,100.0,212.73,0.7,23.7,30.0,10.0,,,,,,77.8,137.4,140.6,100,2026-07-29
HSIC,Daily,85.76,56.33,0.53,FORMING,100.0,89.34,23.1,98.0,9.0,29.8,9.0,22.2,PENDING,79.0,68.7,0.1,23.1,98.0,9.0,TOUCH,89.29,23.1,90.0,17.0,20.0,7.6,7.0,100,2026-07-29
GEV,Daily,912.28,36.07,0.72,,,,,,,,,,PENDING,100.0,855.57,1.2,28.5,49.0,17.0,,,,,,41.9,,,100,2026-07-29
IFF,Daily,78.71,54.37,0.33,,,,,,,,,,PENDING,100.0,70.92,0.5,15.4,39.0,18.0,,,,,,5.2,-0.7,-40.2,100,2026-07-29
MSCI,Daily,583.66,48.11,0.33,,,,,,,,,,PENDING,100.0,542.33,0.0,15.9,32.0,8.0,,,,,,8.3,10.1,3.5,100,2026-07-29
DOV,Daily,199.57,37.74,0.4,,,,,,,,,,CONFIRMED,85.0,200.14,1.2,15.3,91.0,4.0,,,,,,8.1,41.8,27.0,85,2026-07-29
SCHW,Daily,105.97,69.81,0.4,FORMING,84.0,106.76,21.4,104.0,12.0,32.2,12.0,18.2,,,,,,,,TOUCH,106.76,21.4,103.0,13.0,10.6,67.6,66.7,84,2026-07-29
AMP,Daily,545.05,71.55,0.31,FORMING,84.0,546.56,23.0,112.0,8.0,28.5,8.0,24.7,,,,,,,,,,,,,6.0,64.5,127.9,84,2026-07-29
DHI,Daily,149.95,49.57,0.42,,,,,,,,,,PENDING,79.0,131.35,1.2,23.1,89.0,23.0,,,,,,4.4,21.2,65.4,79,2026-07-29
SHW,Daily,345.09,58.4,0.63,,,,,,,,,,PENDING,79.0,316.7,0.3,16.0,120.0,113.0,,,,,,2.4,26.5,24.0,79,2026-07-29
SYF,Daily,75.89,55.61,0.28,,,,,,,,,,PENDING,79.0,68.32,0.3,14.5,45.0,23.0,,,,,,5.8,132.2,79.6,79,2026-07-29
SBUX,Daily,103.49,49.15,0.65,,,,,,,,,,PENDING,79.0,93.64,0.9,14.3,43.0,8.0,,,,,,12.5,10.2,-4.2,79,2026-07-29
OKE,Daily,89.74,48.01,0.43,,,,,,,,,,PENDING,79.0,80.29,2.0,16.4,37.0,47.0,,,,,,16.1,55.8,123.6,79,2026-07-29
KMI,Daily,31.83,45.17,0.4,,,,,,,,,,PENDING,79.0,30.45,1.1,12.5,36.0,48.0,,,,,,21.0,107.6,137.8,79,2026-07-29
NDSN,Daily,296.62,55.4,0.39,,,,,,,,,,PENDING,79.0,253.13,1.4,17.7,87.0,23.0,,,,,,36.1,23.1,39.0,79,2026-07-29
WM,Daily,238.41,59.14,0.8,FORMING,57.0,247.15,15.3,91.0,7.0,37.8,7.0,15.9,PENDING,79.0,209.21,0.4,15.3,91.0,7.0,,,,,,5.5,53.2,73.9,79,2026-07-29
UPS,Daily,105.24,38.8,0.59,,,,,,,,,,PENDING,79.0,92.5,0.3,22.1,106.0,8.0,,,,,,8.6,-34.0,-31.1,79,2026-07-29
