Ticker,Timeframe,Prezzo,RSI,Volume Ratio,CH_Status,CH_Score,CH_Rim,CH_Depth_%,CH_Cup_Bars,CH_Handle_Bars,CH_Handle_Retr_%,CH_Bars_Since,CH_PriorRise_%,DT_Status,DT_Score,DT_Neckline,DT_Diff_%,DT_Valley_%,DT_Sep_Bars,DT_Bars_Since,DTZ_Status,DTZ_T1,DTZ_Valley_%,DTZ_Sep_Bars,DTZ_Bars_Since,Perf_1Y_%,Perf_3Y_%,Perf_5Y_%,Best_Score,Run_Date
CTAS,Weekly,204.18,62.52,0.81,,,,,,,,,,PENDING,100.0,177.95,0.9,21.4,27.0,64.0,,,,,,-4.3,69.0,,100,2026-08-29
JKHY,Weekly,169.73,62.5,0.73,,,,,,,,,,PENDING,100.0,142.48,0.3,26.0,44.0,32.0,TOUCH,192.46,26.0,39.0,37.0,4.1,11.7,,100,2026-08-29
SYK,Weekly,330.69,49.93,0.8,,,,,,,,,,PENDING,100.0,325.15,0.1,18.9,25.0,57.0,,,,,,-15.3,22.4,,100,2026-08-29
UPS,Weekly,105.33,52.45,0.82,,,,,,,,,,PENDING,100.0,91.05,0.3,22.1,22.0,6.0,,,,,,26.4,-25.9,,100,2026-08-29
KIM,Weekly,23.78,49.31,0.92,FORMING,84.0,23.85,29.1,66.0,25.0,28.6,25.0,50.4,,,,,,,,,,,,,12.1,46.4,,84,2026-08-29
HPQ,Weekly,30.52,69.56,1.22,,,,,,,,,,PENDING,79.0,29.25,2.3,20.4,26.0,91.0,,,,,,15.7,11.9,,79,2026-08-29
CPT,Weekly,106.35,47.09,0.69,,,,,,,,,,PENDING,79.0,94.3,0.3,21.3,70.0,7.0,,,,,,1.1,11.4,,79,2026-08-29
DD,Weekly,136.98,49.85,0.78,,,,,,,,,,PENDING,79.0,125.62,1.2,19.8,13.0,15.0,,,,,,43.8,54.3,,79,2026-08-29
HBAN,Weekly,16.92,49.85,0.88,,,,,,,,,,PENDING,79.0,14.76,2.7,22.7,23.0,6.0,,,,,,1.1,77.2,,79,2026-08-29
AIG,Weekly,76.93,49.64,0.71,,,,,,,,,,PENDING,79.0,73.49,0.7,14.8,38.0,35.0,,,,,,-5.5,42.1,,79,2026-08-29
INVH,Weekly,29.24,52.88,0.82,,,,,,,,,,PENDING,79.0,27.88,2.9,20.3,34.0,69.0,,,,,,-2.3,-3.3,,79,2026-08-29
MDLZ,Weekly,62.36,55.15,0.94,FORMING,57.0,63.82,21.1,37.0,11.0,44.8,11.0,22.1,PENDING,79.0,56.04,0.3,21.8,72.0,102.0,,,,,,1.8,-4.9,,79,2026-08-29
TSLA,Weekly,348.75,44.16,0.7,,,,,,,,,,PENDING,79.0,214.25,2.1,57.0,53.0,35.0,TOUCH,488.54,56.1,46.0,42.0,2.6,46.2,,79,2026-08-29
O,Weekly,61.98,50.33,0.78,,,,,,,,,,PENDING,79.0,58.57,0.6,12.4,20.0,6.0,,,,,,11.0,30.8,,79,2026-08-29
UHS,Weekly,171.66,50.39,0.59,,,,,,,,,,PENDING,79.0,151.68,1.7,38.2,61.0,39.0,,,,,,-7.1,32.6,,79,2026-08-29
TFC,Weekly,50.43,53.07,0.62,,,,,,,,,,PENDING,79.0,42.26,1.7,22.6,22.0,6.0,TOUCH,54.63,22.6,22.0,6.0,14.6,102.9,,79,2026-08-29
LYB,Weekly,63.67,52.9,0.56,,,,,,,,,,PENDING,79.0,55.71,0.1,38.3,101.0,120.0,,,,,,17.9,-19.7,,79,2026-08-29
LDOS,Weekly,140.66,52.59,0.66,,,,,,,,,,PENDING,79.0,121.64,2.4,40.4,51.0,42.0,TOUCH,199.13,38.9,46.0,47.0,-21.8,51.9,,79,2026-08-29
ESS,Weekly,284.03,56.65,1.22,FORMING,73.0,303.35,23.4,84.0,7.0,33.9,7.0,45.8,PENDING,79.0,232.39,1.5,23.4,70.0,7.0,,,,,,10.7,34.1,,79,2026-08-29
VRSN,Weekly,291.93,58.87,0.77,,,,,,,,,,PENDING,79.0,206.93,1.8,33.6,42.0,14.0,TOUCH,305.89,32.4,42.0,14.0,9.7,44.5,,79,2026-08-29
ARES,Weekly,142.53,58.89,0.74,,,,,,,,,,PENDING,64.0,105.97,1.2,44.4,27.0,54.0,TOUCH,190.56,44.4,26.0,55.0,-18.4,56.0,,64,2026-08-29
T,Weekly,26.01,57.2,0.51,,,,,,,,,,PENDING,64.0,22.41,1.0,22.0,27.0,22.0,,,,,,-5.3,115.9,,64,2026-08-29
ADSK,Weekly,260.66,59.26,1.07,,,,,,,,,,PENDING,64.0,232.67,0.8,29.3,41.0,50.0,,,,,,-10.2,20.7,,64,2026-08-29
CARR,Weekly,58.79,41.54,0.98,,,,,,,,,,PENDING,64.0,53.07,1.5,34.5,41.0,56.0,,,,,,-11.9,11.3,,64,2026-08-29
AMT,Weekly,176.23,50.09,0.61,,,,,,,,,,PENDING,64.0,163.45,0.6,28.0,45.0,57.0,,,,,,-13.6,10.3,,64,2026-08-29
CNC,Weekly,64.75,61.96,0.68,,,,,,,,,,PENDING,64.0,63.45,1.0,22.1,27.0,103.0,,,,,,120.2,2.0,,64,2026-08-29
TEL,Weekly,202.66,46.28,0.69,,,,,,,,,,PENDING,64.0,189.64,1.1,24.3,24.0,18.0,,,,,,-0.1,64.7,,64,2026-08-29
TTWO,Weekly,235.39,51.8,1.27,,,,,,,,,,PENDING,64.0,187.63,0.4,29.4,38.0,7.0,,,,,,2.8,66.4,,64,2026-08-29
